miRNA,Disease,Category,Evidence_class,Source_as_recorded,Reference_1,Reference_2,Study_type,Method,Validated_targets,Pathway_mechanism,Functional_role,Has_exact_sequence
miR-548d-3p,Oral squamous cell carcinoma,Cancer,E1,HMDD,"[79](Tan et al., 2019)",,In vitro,qRT-PCR,SOCS5/SOCS6,JAK–STAT signaling pathway,,True
miR-548d-3p,Diffuse Large B-cell Lymphoma (DLBCL),Cancer,E1,HMDD,"[124](Ting, C. et al., 2022)",,Ex vivo,qRT-PCR,,,,True
miR-548d-3p,Flaviviridae virus infection,Infectious diseases,E2,Pubmed,"[54](Cayatineto & Hakim, 2024)",,In silico,miRBase /sequence alignments,,,,True
miR-548d,Medulloblastoma,Cancer,E1,HMDD,"[72](Lv et al., 2012)",,In vitro,qRT/PCR Dual-luciferase reporter assay,MYCC,,,False
miR-548d,Pancreatic cancer,Cancer,E1,HMDD,"[94](Heyn et al., 2012)",,In Vitro/In silico,Cell culture,,,,False
miR-548d-5p,Human T-cell Leukemia Virus II Infections,Infectious diseases,E1,HMDD,"[49](Pilotti et al., 2022)",,In vitro,qRT-PCR,,,,True
miR-548d-5p,Esophageal Cancer,Cancer,E1,HMDD,"[80](Hummel et al., 2011)",,In Vitro/In silico,qRT-PCR/microarrays,,,,True
miR-548d-5p,Acute Pancreatitis,Inflammatory diseases,E1,HMDD,"[44](Chen, Y. et al., 2021)",,Ex vivo,qRT-PCR,,,,True
miR-548d-5p,Rectal cancer,Cancer,E2,HMDD,"[118](Du, B. et al., 2018)",,In silico,,,,,True
miR-548e-3p,Rhinosinusitis,Inflammatory diseases,E1,HMDD,"[42](Xuan et al., 2019)",,Ex vivo,qRT-PCR DIANA-miRpath 3.0,,,,True
miR-548e-3p,Cystic Fibrosis by Pseudomonas,Infectious diseases,E1,HMDD,"[51](Fesen et al., 2019)",,Ex vivo In silico,qRT-PCR Ingenuity Pathway Analysis,,,,True
miR-548e-3p,Ovarian cancer,Cancer,E1,HMDD,"[138](Zhang, J. et al., 2020)",,In silico/In vitro/Ex vivo/in vivo,qRT-PCR/luciferase reporter/RNA Immunoprecipitation/xenograft model,CXCR4,,,True
miR-548e-5p,Behcet Syndrome,Autoimmune diseases,E1,Springer Nature,"[37](Hassouna et al., 2022)",,Ex vivo,qRT-PCR,,,,True
miR-548e-5p,"Non-Specific-Inflammation, especially preterm birth",Inflammatory diseases,E1,HMDD,"[50](Yang et al., 2019)",,In vitro In vivo,,,,,True
miR-548f-3p,Cystic Fibrosis by Pseudomonas,Infectious diseases,E1,HMDD,"[51](Fesen et al., 2019)",,Ex vivo In silico,qRT-PCR Ingenuity Pathway Analysis,,,,True
miR-548f-5p,Colorectal cancer,Cancer,E1,HMDD,"[116](Patil, N. et al., 2021)",,Ex vivo/In vitro/In silico,,,,,True
miR-548f,Endometrial cancer,Cancer,E1,HMDD,"[140](Ni et al., 2022)",,In vitro,,,,,False
miR-548g-3p,Dengue virus infection,Infectious diseases,E1,Pubmed,"[26]Zhuo et al., 2018","[55](Wen et al., 2015)",in Silico/In Vitro,,Viral replication factors,Viral replication inhibition,Antiviral,True
miR-548g-3p,Colorectal cancer,Cancer,E1,HMDD,"[116](Patil, N. et al., 2021)",,Ex vivo/In vitro/In silico,,,,,True
miR-548g,Esophageal Squamous Cell Carcinoma,Cancer,E1,HMDD,"[81](Takaki et al., 2021)",,Ex vivo In vitro,,,,,False
miR-548g,Gastric cancer,Cancer,E1,HMDD,"[89](Fang et al., 2019)",,Ex vivo/In vitro/In silico,qRT-PCR/ luciferase reporter/ RNA immuneprecipitation,RUNX1,,,False
